City_ID,City,Lat,Lng,Max Temp (C),Humidity,Cloudiness,Wind Speed,Country,Date
65,pamandzi,-12.7967,45.2794,22.879999999999995,78,0,1.54,YT,1723668586
66,saipan,15.1355,145.701,28.390000000000043,78,0,2.57,MP,1723668588
67,hermanus,-34.4187,19.2345,7.670000000000016,64,61,1.09,ZA,1723668589
68,edson,53.5835,-116.4356,22.08000000000004,46,20,3.6,CA,1723668590
69,yellowknife,62.456,-114.3525,14.120000000000005,93,100,5.66,CA,1723668513
70,bethel,41.3712,-73.414,28.25,56,75,4.12,US,1723668586
71,port alfred,-33.5906,26.891,12.879999999999995,59,34,4.92,ZA,1723668594
72,akrehamn,59.2667,5.1833,15.79000000000002,88,75,1.54,NO,1723668595
73,nar'yan-mar,67.6713,53.087,8.82000000000005,97,100,7.24,RU,1723668596
74,nova vicosa,-17.8919,-39.3719,21.890000000000043,74,71,3.13,BR,1723668597
75,selfoss,63.9331,-20.9971,11.140000000000043,98,100,2.44,IS,1723668598
76,boyolangu,-8.1181,111.8935,23.400000000000034,92,94,0.03,ID,1723668600
77,carnarvon,-24.8667,113.6333,18.99000000000001,74,80,4.75,AU,1723668601
78,persembe,41.0656,37.7714,23.680000000000007,81,0,2.72,TR,1723668602
79,port moresby,-9.4431,147.1797,24.680000000000007,94,75,2.57,PG,1723668603
80,longyearbyen,78.2186,15.6401,11.910000000000025,82,75,3.09,SJ,1723668605
81,qaqortoq,60.7167,-46.0333,7.080000000000041,75,31,2.24,GL,1723668606
82,chibougamau,49.9168,-74.3659,26.79000000000002,39,0,3.6,CA,1723668607
83,asbestos,45.7668,-71.9324,26.980000000000018,74,71,1.34,CA,1723668608
84,achacachi,-16.05,-68.6833,12.720000000000027,47,0,5.9,BO,1723668609
85,taoudenni,22.6783,-3.9836,40.77000000000004,18,57,6.74,ML,1723668611
86,tazacorte,28.629,-17.9293,24.53000000000003,75,0,6.69,ES,1723668612
87,karsun,54.1994,46.9827,10.930000000000007,95,22,2.74,RU,1723668613
88,pelabuhanratu,-6.9875,106.5514,23.129999999999995,89,93,1.68,ID,1723668614
89,punta arenas,-53.15,-70.9167,5.060000000000002,81,75,1.54,CL,1723668615
90,invercargill,-46.4,168.35,11.120000000000005,72,99,3.58,NZ,1723668340
91,pekanbaru,0.5333,101.45,26.180000000000007,83,100,1.54,ID,1723668618
